name,kind,out,fingerprint,out_sha256,provisional,built,tool,inputs
drc,export,mechanical/drc.echo,39731a0774480f16,1f9fb113464b58c3,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-diffuser,export,mechanical/export/diffuser.dxf,ec7a3e6fc4375e2c,9c2c4394b013b3b3,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-mouth-cap,export,mechanical/export/mouth-cap.dxf,772b04e1af9f0f51,32771f83628f1ea9,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-oak-bottom,export,mechanical/export/oak-bottom.dxf,c434c3f9273ca5f8,b71339f97e8a5001,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-oak-grooves,export,mechanical/export/oak-grooves.dxf,8b82f48a0fb3b744,c4f91f8b9d3563b3,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-oak-top,export,mechanical/export/oak-top.dxf,510273cc18288b8e,20b9d218bd02673f,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-plate-top,export,mechanical/export/plate-top.dxf,3d3f125fab89df43,199e5f6d7a0c555a,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-service-cover,export,mechanical/export/service-cover.dxf,c704845fb3135fe0,274217cf72c6bae9,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-side,export,mechanical/export/side.dxf,3dcb722b77c3ecb5,8b4f796b5dd0859f,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-tail-backplate,export,mechanical/export/tail-backplate.dxf,e046708d25a02365,8c27a11267a3963a,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-tail-cap,export,mechanical/export/tail-cap.dxf,eb92faea7bd78bab,83a28d5eb98dbb64,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-thumb-plate,export,mechanical/export/thumb-plate.dxf,2d251ca78cffdf01,f74916d9a32c04f6,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
dxf-ubolt-backplate,export,mechanical/export/ubolt-backplate.dxf,8bf3f479864bff69,c709a0b9714a263c,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
exploded,render,mechanical/renders/exploded.png,599942d55206ceb1,4ba2bc00bec346a8,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
hero,render,mechanical/renders/hero.png,33441affba56d085,135c8bec4d4b6362,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
internals,render,mechanical/renders/internals.png,87da68c6c1294c5b,3f667e6e55044b81,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
key-layouts,render,mechanical/renders/key-layouts.png,b0b15399fda70afc,c3459534bb12ac21,yes,2026-09-26,OpenSCAD version 2021.01,datasheets/mechanical/LILYGO-T-DISPLAY-S3-AMOLED-OUTLINE.dxf@3a0e0d35f752;mechanical/cad/fig_key_layouts.scad@5126c1ba8f2f;mechanical/cad/generated/params.scad@7c6ccad1e268;mechanical/cad/lib/annot.scad@32da948235d9;mechanical/cad/vendor/ks33.stl@bc569261cbf6;mechanical/cad/vendor/t-display-s3-amoled.stl@b36d130e6e5c;mechanical/cad/woody_body.scad@1356f8f34f4b
ks33-mesh,mesh,mechanical/cad/vendor/ks33.stl,3d826c3500895420,192b6fe1b0efae6d,,2026-09-26,gmsh 4.15.2,datasheets/mechanical/GATERON-KS-33-3D.step@24e008084cea
